prefix,operator,operator_group,service_type,orbit_class,origin_asn,geoip_country,geoip_region,geoip_city,geoip_source,pop_code,pop_iata,bgp_state,ground_station_claim,active_user_claim,quality_flags,attribution_confidence,geo_confidence,first_seen,last_seen,changed_at,change_type,previous_bgp_state,previous_origin_asn,previous_operator,previous_pop_code,previous_geoip_country,previous_geoip_region,previous_geoip_city
103.114.116.128/25,starlink,spacex,satellite_internet,leo,,ID,ID-JK,Jakarta,starlink_feed_csv,jtnaidn2,jkt,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_present ptr_missing],0.925,0.750,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.115.208.0/23,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.115.210.0/23,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.12.128.0/22,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.147.48.0/23,oneweb,eutelsat_oneweb,satellite_internet,leo,800,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-20,2026-08-12,2026-06-20T07:08:49Z,unchanged,,,,,,,
103.153.119.0/24,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-07-03,2026-08-12,2026-07-03T06:42:11Z,unchanged,,,,,,,
103.173.237.0/24,kvh,kvh,satellite_service_provider,mixed_satellite,10021,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.176.60.0/24,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.184.179.0/25,starlink,spacex,satellite_internet,leo,,ID,ID-JK,Jakarta,starlink_feed_csv,jtnaidn2,jkt,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_present ptr_missing],0.925,0.750,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.184.179.128/25,starlink,spacex,satellite_internet,leo,,ID,ID-JK,Jakarta,starlink_feed_csv,jtnaidn2,jkt,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_present ptr_missing],0.925,0.750,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.2.168.0/22,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.200.8.0/22,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.211.208.0/22,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.212.40.0/24,speedcast,speedcast,satellite_service_provider,mixed_satellite,38456,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.217.100.0/24,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,7155,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
103.217.100.0/28,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,,MY,,Kuala Lumpur,viasat_geofeed_csv,,,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_missing],0.925,0.600,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.217.100.112/28,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,,AE,,Dubai,viasat_geofeed_csv,,,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_missing],0.925,0.600,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.217.100.128/27,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,,JP,,Tokyo,viasat_geofeed_csv,,,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_missing],0.925,0.600,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.217.100.16/28,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,,TW,,Taipei City,viasat_geofeed_csv,,,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_missing],0.925,0.600,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.217.100.160/28,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,,LK,,Colombo,viasat_geofeed_csv,,,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_missing],0.925,0.600,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.217.100.32/28,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,,AU,,Southbank,viasat_geofeed_csv,,,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_missing],0.925,0.600,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.217.100.48/28,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,,TW,,Taipei City,viasat_geofeed_csv,,,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_missing],0.925,0.600,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.217.100.64/28,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,,GB,,Farnborough,viasat_geofeed_csv,,,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_missing],0.925,0.600,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.217.100.80/28,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,,US,,Carlsbad,viasat_geofeed_csv,,,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_missing],0.925,0.600,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.217.100.96/28,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,,US,,Carlsbad,viasat_geofeed_csv,,,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_missing],0.925,0.600,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.217.102.0/24,viasat,viasat,satellite_internet,geo_or_hybrid_satellite,7155,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
